County,Year,Total population,Male Total population,Female Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,
"Stone County, Arkansas",2009,11920,5854,6066,608,536,799,775,608,560,405,858,584,906,906,834,989,858,620,513,250,322,
"Union County, Arkansas",2009,43157,20657,22500,2978,2848,2892,2978,2633,2417,2460,2503,3107,3323,3107,2848,2244,1813,1424,1467,1338,863,
"Van Buren County, Arkansas",2009,16411,7938,8473,1050,1017,788,1034,771,870,738,673,1182,1149,1116,1198,1034,673,1231,574,624,706,
"Washington County, Arkansas",2009,193353,96635,96718,16242,13921,11988,14888,15855,20689,14888,13341,12375,12375,11214,9861,7154,5221,4447,3674,2514,2707,
"White County, Arkansas",2009,73838,36202,37636,4947,4947,4947,5981,6129,5021,4430,4726,4873,5095,4504,4209,3692,3027,2289,2215,1551,1329,
"Woodruff County, Arkansas",2009,7677,3703,3974,461,568,438,499,499,430,361,468,445,576,553,514,568,299,345,292,261,92,
"Yell County, Arkansas",2009,21912,10934,10978,1709,1600,1643,1578,1337,1359,1337,1468,1468,1490,1424,1402,1030,876,745,635,416,438,
"Alameda County, California",2009,1457095,719873,737222,103454,91797,88883,90340,91797,119482,115111,115111,116568,113653,101997,88883,64112,43713,34970,30599,24771,23314,
"Alpine County, California",2009,1153,606,547,73,104,65,136,42,28,71,68,76,140,129,81,37,51,21,22,7,3,
"Amador County, California",2009,38039,20452,17587,1445,1636,2168,2473,1674,1636,1902,2473,2625,3119,3576,3462,2777,2168,1750,1255,989,875,
"Butte County, California",2009,217917,107195,110722,12203,11985,13511,19177,29637,9806,9153,11332,12857,14600,15254,14600,11332,8717,7191,6320,5012,5230,
"Calaveras County, California",2009,46548,23206,23342,1815,2188,3072,3119,2327,1769,1629,2234,3165,3863,4376,4050,4096,2746,2514,1583,884,1071,
"Colusa County, California",2009,21001,10625,10376,1932,1764,1575,1743,1428,1260,1281,1176,1449,1449,1344,1134,966,861,483,441,399,336,
"Contra Costa County, California",2009,1015571,499953,515618,68043,70074,74137,72106,60934,58903,60934,73121,82261,84292,76168,63981,50779,34529,27420,22343,18280,17265,
"Del Norte County, California",2009,28729,15568,13161,1638,1695,1752,2011,2126,2068,1925,2040,1982,2241,2183,1724,1523,1006,1006,948,460,402,
"El Dorado County, California",2009,175941,88325,87616,10029,11436,12492,13020,9325,7565,8269,10908,14427,16714,16011,13372,11612,7038,4926,3519,2815,2287,
"Fresno County, California",2009,890750,448896,441854,79277,71260,74823,73042,70369,72151,59680,57008,58790,57899,52554,43647,33849,24941,19597,16034,13361,13361,
"Glenn County, California",2009,27891,14154,13737,2175,2064,2343,2231,1952,1757,1646,1757,1757,1980,1869,1729,1199,1255,586,669,474,474,
"Humboldt County, California",2009,129003,63866,65137,7611,6708,7353,9933,15351,8127,6966,7353,7482,9288,10062,9804,6708,4386,3999,3096,2451,2322,
"Imperial County, California",2009,160034,83125,76909,15203,12003,13763,13603,12643,11202,10402,10402,11522,10722,9282,7362,5441,4481,4001,4001,2561,1760,
"Inyo County, California",2009,17438,8565,8873,1029,994,1168,1081,977,715,820,802,1273,1517,1552,1482,1133,907,610,541,541,314,
"Kern County, California",2009,780953,403976,376977,70286,64819,67943,64819,60133,59352,53105,52324,54667,53886,46076,36705,28114,22648,16400,12495,10152,7810,
"Kings County, California",2009,146696,84670,62026,12322,11296,10415,11149,14523,13643,11882,12763,10415,9535,7481,5868,4548,3521,2787,2054,1614,1027,
"Lake County, California",2009,64756,32036,32720,3562,4339,3885,4403,3626,3238,3044,3691,4144,5180,5375,4986,4792,3303,2461,1684,1554,1554,
"Lassen County, California",2009,34428,22466,11962,1756,1653,1549,2100,2926,3236,3236,2961,3099,2858,2376,2169,1480,998,654,723,413,310,
"Los Angeles County, California",2009,9785295,4850087,4935208,733897,665400,724112,714327,694756,802394,753468,753468,733897,704541,616474,508835,391412,283774,234847,195706,156565,136994,
"Madera County, California",2009,144794,69804,74990,12163,10715,12742,11294,9846,9991,9701,9556,10136,9701,8977,8108,6805,4923,3475,2896,1882,1738,
"Marin County, California",2009,246711,123103,123608,14063,13569,13816,13569,11842,10115,12829,18997,18997,21217,21711,21217,16530,11842,7895,7401,5674,5428,
"Mariposa County, California",2009,17865,9025,8840,768,625,1215,911,875,1000,840,1161,1215,1501,1608,1608,1251,1125,786,590,429,393,
"Mendocino County, California",2009,86030,43065,42965,5506,5076,5420,6108,5592,4818,4388,5248,5076,6280,6968,6968,5850,3957,2753,2151,2065,1893,
"Merced County, California",2009,242235,121826,120409,22286,22043,21317,21801,18410,17199,15503,16230,15745,15745,13565,10901,8720,7025,5329,4360,3149,2665,
"Modoc County, California",2009,9162,4703,4459,403,586,596,651,376,275,476,596,531,742,669,733,760,715,293,376,211,192,
"Mono County, California",2009,12925,7023,5902,724,569,788,840,1163,1099,607,944,1137,1047,1021,788,827,698,246,220,103,116,
"Monterey County, California",2009,404922,210686,194236,35633,28749,28345,30369,32799,31179,29154,27535,28749,27535,25105,21866,16602,11338,9313,8098,6479,5669,
"Napa County, California",2009,132173,66452,65721,8195,8195,8988,9120,8459,7666,7402,9649,8856,10177,9913,8327,7798,5155,4362,3701,3040,3304,
"Nevada County, California",2009,97063,48543,48520,4368,4562,6212,6600,4756,4174,3785,5533,6115,8153,8930,9027,7377,5533,3785,3494,2330,2232,
"Orange County, California",2009,2976831,1488489,1488342,217309,202425,211355,205401,199448,229216,211355,229216,232193,226239,196471,163726,128004,95259,74421,62513,50606,44652,
"Placer County, California",2009,332059,164194,167865,20256,21916,24240,22248,18595,17931,18263,23244,25569,26897,23908,21916,17267,15607,11622,9630,6973,5645,
"Plumas County, California",2009,20550,10397,10153,884,884,1233,1356,740,719,781,1028,1377,1644,2096,2137,1644,1233,1089,801,493,411,
"Riverside County, California",2009,2036304,1018316,1017988,160868,160868,175122,164941,134396,140505,132360,146614,146614,142541,120142,97743,81452,65162,57017,48871,34617,26472,
"Sacramento County, California",2009,1375605,676045,699560,103170,93541,101795,97668,94917,111424,96292,97668,99044,101795,92166,77034,57775,42644,35766,28888,23385,20634,
"San Benito County, California",2009,54752,27915,26837,4380,4325,4709,4544,3395,3614,3504,3997,4325,4106,3778,3066,2190,1259,1314,931,821,548,
"San Bernardino County, California",2009,1986635,997128,989507,162904,162904,174824,174824,156944,143038,133105,139064,145024,143038,123171,97345,73505,51653,39733,29800,21853,19866,
"San Diego County, California",2009,2987543,1497336,1490207,221078,191203,197178,212116,241991,241991,212116,215103,215103,221078,200165,164315,125477,92614,74689,65726,53776,47801,
"San Francisco County, California",2009,797271,405087,392184,40661,27904,28702,30296,46242,86903,86903,74943,62984,57404,53417,48634,39066,30296,23918,22324,18337,18337,
"San Joaquin County, California",2009,664641,333069,331572,55830,53836,57159,55830,45860,45196,43202,46525,47190,47190,40543,33232,26586,18610,15287,11964,9970,9970,
"San Luis Obispo County, California",2009,262149,134587,127562,13370,12583,14418,23856,33555,11010,11272,15205,16515,20185,20448,18350,13894,10748,8389,6816,6029,6029,
"San Mateo County, California",2009,701886,348520,353366,48430,42815,40008,40709,40709,47026,50536,54747,56151,56151,51940,45623,35094,25268,19653,17547,14740,14038,
"Santa Barbara County, California",2009,402025,202675,199350,29348,23719,26132,37790,48645,19297,21709,23719,26132,27740,25730,22111,17689,13267,11257,10855,8443,8041,
"Santa Clara County, California",2009,1729378,882135,847243,133162,112410,112410,108951,108951,133162,140080,145268,138350,134891,114139,93386,70904,53611,41505,36317,27670,24211,
"Santa Cruz County, California",2009,251398,125864,125534,16844,13575,15084,21620,27402,12067,13827,16341,17849,19358,20112,18352,12319,7542,5531,4777,5028,3771,
"Shasta County, California",2009,179387,87904,91483,10763,10584,12736,13275,11481,10584,8790,9687,12378,13813,13813,12736,11122,7714,7175,5023,3947,3588,
"Sierra County, California",2009,3240,1689,1551,120,168,159,185,62,175,97,143,269,350,227,454,214,207,126,185,42,55,
"Siskiyou County, California",2009,44404,21955,22449,2309,2442,2620,3197,2265,1909,1599,2398,2398,3419,4085,3863,3464,2620,1821,1643,1199,1066,
"Solano County, California",2009,406461,204517,201944,28452,28046,29672,30078,29265,27233,26014,28452,30485,32110,29672,24388,18697,13413,9755,8536,6503,6097,
"Sonoma County, California",2009,464218,229877,234341,28782,26460,30174,32495,30174,31567,26460,30174,32959,37137,36673,33888,25996,17176,12534,11605,9284,10213,
"Stanislaus County, California",2009,505165,250196,254969,41424,38393,44455,41424,35867,36877,32331,34856,34856,35867,31320,26269,19701,15155,12124,9598,7577,7072,
"Sutter County, California",2009,90731,45274,45457,7258,6714,7077,6896,6170,6260,5988,5625,6442,6351,5716,4990,4083,3176,2903,2087,1724,1270,
"Tehama County, California",2009,60601,30091,30510,3878,3818,4666,4727,3697,3575,3030,3454,4242,4545,4242,4242,3212,2788,2363,1697,1333,1091,
"Trinity County, California",2009,13922,6940,6982,613,515,835,933,543,543,543,654,668,1030,1337,1281,1309,1002,821,459,348,487,
"Tulare County, California",2009,416299,209465,206834,40797,35802,38300,35802,30806,30390,27059,27476,25811,26227,23313,19982,15403,11656,9159,7493,5412,5412,
"Tuolumne County, California",2009,55761,29525,26236,2398,2453,3011,3290,3346,3290,2844,3290,3346,4182,4740,4684,4071,3401,2342,2007,1561,1338,
"Ventura County, California",2009,792313,397194,395119,59423,53877,60216,60216,54670,49916,46746,54670,60216,63385,57047,46746,36446,26146,20600,16639,14262,11885,
"Yolo County, California",2009,192974,94711,98263,12736,11385,13315,21034,29139,10614,10614,11964,12350,12543,11578,10035,7140,5789,3667,3859,2895,2316,
"Yuba County, California",2009,70906,35657,35249,6382,5389,5814,5531,5672,5814,4893,4538,4609,4893,4183,3545,3191,1985,1773,1205,922,709,
"Adams County, Colorado",2009,419439,212783,206656,38169,33136,30200,26844,28102,38588,36072,33136,30200,29780,25166,21391,15100,10905,8389,6292,4614,3775,
"Alamosa County, Colorado",2009,15353,7701,7652,1182,1044,1044,1704,1812,691,706,967,798,1075,998,1029,629,507,415,261,322,169,
"Arapahoe County, Colorado",2009,544157,268280,275877,40812,39723,36459,37547,34282,39723,38091,39723,39723,42988,39723,33194,24487,16869,13060,10883,8707,7618,
"Archuleta County, Colorado",2009,12225,6848,5377,562,1528,1626,1993,1125,86,220,245,452,452,599,954,746,575,477,281,220,86,
"Baca County, Colorado",2009,3847,1839,2008,185,131,289,315,154,131,162,173,281,289,304,219,300,269,138,215,154,150,
"Bent County, Colorado",2009,6128,3796,2332,294,239,380,202,331,466,760,527,637,441,380,417,306,300,153,104,74,110,
"Boulder County, Colorado",2009,295524,149564,145960,17731,17731,17140,24824,35167,16549,18322,21573,22164,23937,22755,18027,13594,7979,5910,4728,3546,3546,
"Broomfield County, Colorado",2009,52882,26717,26165,3966,4019,3702,3702,3279,3649,4072,4601,4812,4495,3755,3014,2062,1216,846,582,529,476,
"Chaffee County, Colorado",2009,16870,9047,7823,590,641,1012,877,1063,894,911,962,1147,1383,1451,1485,1299,860,928,725,304,337,
"Cheyenne County, Colorado",2009,1622,756,866,63,32,148,195,76,70,57,68,91,152,139,89,81,68,57,76,62,97,
"Clear Creek County, Colorado",2009,8886,4574,4312,471,435,533,658,240,320,453,675,818,1013,1102,897,524,275,240,62,89,89,
"Conejos County, Colorado",2009,8021,3955,4066,586,545,698,690,473,377,305,361,610,545,602,529,457,257,385,321,176,96,
"Costilla County, Colorado",2009,3282,1638,1644,184,144,177,292,108,108,138,131,141,292,263,279,331,217,194,95,121,69,
"Crowley County, Colorado",2009,6311,4470,1841,234,202,196,732,713,417,606,719,505,587,353,303,227,202,120,114,63,38,
"Custer County, Colorado",2009,3598,1796,1802,140,176,137,158,255,14,112,115,374,320,371,392,392,212,273,101,32,25,
"Delta County, Colorado",2009,30353,15109,15244,1821,1669,2125,2034,1487,1366,1305,1760,1821,2216,2307,2034,2398,1760,1457,1032,971,789,
"Denver County, Colorado",2009,582447,294727,287720,50090,35529,29705,29122,40189,65817,58245,47761,39024,36694,34364,30870,23880,16309,12231,11649,9902,9902,
"Dolores County, Colorado",2009,1771,937,834,73,135,143,71,44,76,165,112,101,113,133,223,74,73,51,57,60,69,
"Douglas County, Colorado",2009,269451,134954,134497,22364,23981,22095,17514,11586,14550,20478,26137,26406,23981,19131,14820,10778,6467,3772,2425,1886,1078,
"Eagle County, Colorado",2009,50614,27316,23298,4201,2936,3138,2733,3341,5568,5163,4910,4302,3745,3695,3138,1620,1012,557,253,101,202,
"Elbert County, Colorado",2009,22786,11492,11294,1048,1436,1937,1960,957,729,934,1367,2256,2689,2370,1868,1299,638,661,365,137,137,
"El Paso County, Colorado",2009,586446,292331,294115,43397,42224,42224,43983,47502,39878,36946,40465,45156,47502,42224,32841,26390,17593,13488,9970,7624,6451,
"Fremont County, Colorado",2009,47393,27898,19495,2038,2085,2180,2464,2701,3507,3318,3839,3839,4123,3697,3128,2938,2370,1706,1611,1185,711,
"Garfield County, Colorado",2009,52878,27096,25782,4548,4124,3596,3437,3384,3860,3807,4230,3596,4230,3966,3278,2221,1375,1163,793,582,582,
"Gilpin County, Colorado",2009,5177,2629,2548,259,274,243,300,254,171,300,492,497,528,590,492,357,166,93,83,72,5,
"Grand County, Colorado",2009,13550,7029,6521,718,813,772,908,1098,718,881,894,1125,1165,1260,1043,962,474,366,176,163,14,
"Gunnison County, Colorado",2009,14924,7937,6987,776,716,642,1612,2462,1060,1000,806,1194,985,970,970,612,403,269,134,60,239,
"Hinsdale County, Colorado",2009,554,294,260,25,24,5,10,98,80,52,23,24,16,53,55,19,23,31,4,7,5,
"Huerfano County, Colorado",2009,7713,4329,3384,224,316,478,409,401,486,409,393,617,702,602,578,594,447,332,270,216,239,
"Jackson County, Colorado",2009,1305,713,592,37,86,91,52,54,40,38,51,81,120,117,119,123,100,74,77,38,5,
"Jefferson County, Colorado",2009,529025,263274,265751,31742,30683,35974,36503,32271,32800,31742,36503,41793,47083,44438,38090,26980,19045,14284,11110,8993,7935,
"Kiowa County, Colorado",2009,1644,741,903,56,81,127,117,54,71,38,82,89,135,127,145,100,156,81,23,43,128,
"Kit Carson County, Colorado",2009,8072,4477,3595,484,525,492,622,525,339,613,525,509,735,581,565,331,396,274,161,202,186,
"Lake County, Colorado",2009,8025,4086,3939,642,498,803,514,393,650,698,618,642,562,690,570,225,104,144,24,72,169,
"La Plata County, Colorado",2009,49678,25125,24553,2732,2683,2534,4074,5763,2832,2732,3179,3229,4074,4123,3676,2782,1838,1242,845,894,397,
"Larimer County, Colorado",2009,286978,143154,143824,17506,16358,17506,22958,36446,17793,16071,17506,19515,21810,21523,18367,12914,9470,6887,5740,4018,4305,
"Las Animas County, Colorado",2009,15814,7831,7983,949,1028,838,1186,807,854,886,870,917,1186,1297,1344,933,759,585,648,380,316,
"Lincoln County, Colorado",2009,5285,3079,2206,322,190,322,291,307,439,211,285,560,465,423,338,264,201,222,222,100,127,
"Logan County, Colorado",2009,20828,11123,9705,1271,1604,979,1729,1416,1500,1166,1312,1375,1687,1583,1312,1000,833,625,604,458,375,
"Mesa County, Colorado",2009,137879,67593,70286,9652,8548,8824,9376,9376,10203,7859,8135,8411,10203,10479,9238,7170,5791,4688,4274,2895,2895,
"Mineral County, Colorado",2009,1077,531,546,8,38,19,42,41,18,3,40,76,53,120,101,169,113,92,58,44,41,
"Moffat County, Colorado",2009,13555,6942,6613,976,1139,895,962,813,881,908,827,1112,1017,1193,922,624,352,420,271,149,136,
"Montezuma County, Colorado",2009,25000,12283,12717,1600,1650,1675,1800,1350,1150,1375,1225,1775,1950,2075,2075,1475,1175,925,825,525,400,
"Montrose County, Colorado",2009,39303,19355,19948,2633,2791,2791,2555,2044,2004,1965,2083,2830,2908,2908,2948,2240,1847,1651,1336,747,943,
"Morgan County, Colorado",2009,27630,13913,13717,2155,2100,2266,2100,1658,1658,1575,1603,2100,2017,1879,1492,1299,1050,829,691,580,608,
"Otero County, Colorado",2009,18833,9071,9762,1356,1356,1205,1337,1111,998,885,960,1281,1186,1450,1205,1224,772,942,565,377,659,
"Ouray County, Colorado",2009,4519,2083,2436,244,235,312,303,122,136,136,334,325,411,524,556,352,262,140,81,9,32,
"Park County, Colorado",2009,16788,8760,8028,839,974,907,1091,554,806,957,957,1662,1813,1998,1528,1209,672,369,285,34,118,
"Phillips County, Colorado",2009,4479,2119,2360,349,367,363,251,237,179,215,188,403,381,269,242,255,157,175,202,116,121,
"Pitkin County, Colorado",2009,15314,7993,7321,704,643,750,812,873,1332,1149,980,1470,1317,1363,1378,1103,536,398,230,168,77,
"Prowers County, Colorado",2009,13206,6767,6439,1030,713,1307,1030,819,832,779,740,872,1004,832,740,674,462,449,370,238,304,
"Pueblo County, Colorado",2009,153814,75212,78602,10306,10459,10613,10921,10152,9844,8921,9383,10152,10921,10921,9844,7998,6306,5383,4768,3845,2615,
"Rio Blanco County, Colorado",2009,6183,3095,3088,464,383,402,464,526,346,352,352,396,538,470,414,346,322,105,179,99,25,
"Rio Grande County, Colorado",2009,11743,5848,5895,1045,752,716,928,658,552,611,587,505,763,963,822,857,763,305,364,294,258,
"Routt County, Colorado",2009,22356,12081,10275,1230,1028,1319,1498,1498,1967,1766,1856,1766,2079,2079,1721,1163,581,313,246,156,67,
"Saguache County, Colorado",2009,6929,3465,3464,423,610,367,471,554,388,346,443,575,430,547,617,402,256,229,97,90,76,
"San Juan County, Colorado",2009,686,478,208,9,7,18,25,69,80,51,53,14,144,39,74,33,5,31,28,6,0,
"San Miguel County, Colorado",2009,7385,3899,3486,399,443,295,340,391,716,871,739,635,657,620,606,362,126,126,15,30,15,
"Sedgwick County, Colorado",2009,2378,1152,1226,93,124,138,159,117,88,69,157,133,147,197,138,147,169,124,93,71,214,
"Summit County, Colorado",2009,26246,14931,11315,1863,1050,1365,1102,2520,3412,2887,2152,2126,1916,1968,1207,1286,604,420,289,52,26,
"Teller County, Colorado",2009,21554,10947,10607,1056,1121,1552,1293,927,690,884,1229,1789,2414,2392,2199,1617,1013,733,388,216,65,
"Washington County, Colorado",2009,4647,2258,2389,232,279,297,321,274,200,209,325,274,358,367,335,223,204,181,265,172,139,
"Weld County, Colorado",2009,241221,121195,120026,20263,20504,15679,18092,17368,21227,18333,17850,16403,17127,15679,13267,9649,6031,5066,3618,2653,2171,
"Yuma County, Colorado",2009,9630,4687,4943,751,770,655,520,587,376,636,655,559,722,713,693,395,299,443,327,327,202,
"Fairfield County, Connecticut",2009,892843,436401,456442,59820,61606,65178,62499,50892,46428,51785,65178,74106,74999,65178,54463,43749,32142,25892,21428,18750,18750,
"Hartford County, Connecticut",2009,874409,423285,451124,53339,54213,59460,61209,55088,53339,51590,57711,68204,70827,64706,54213,45469,32353,27107,23609,20986,20111,
"Litchfield County, Connecticut",2009,188411,92690,95721,9609,11493,12812,13000,9609,8102,8855,13000,15638,17334,16203,13566,11116,8478,5841,5087,4522,4333,
"Middlesex County, Connecticut",2009,164004,80331,83673,8856,10004,10004,10988,9348,8528,8692,12136,13612,14268,13120,10824,10004,6724,5084,4428,2952,3936,
"New Haven County, Connecticut",2009,843532,407736,435796,51455,52299,56517,61578,56517,55673,52299,58204,63265,66639,59891,52299,41333,30367,25306,21932,18558,21088,
"New London County, Connecticut",2009,266183,131131,135052,15439,14906,18100,18899,19431,15705,14906,18367,21028,22359,20230,16770,14108,10115,8252,6921,5590,4791,
"Tolland County, Connecticut",2009,148526,74946,73580,7278,8615,9357,15298,16783,5495,6832,9951,12031,12922,11139,9357,6832,5198,3862,3268,2228,2079,
"Windham County, Connecticut",2009,116579,57615,58964,6762,7344,7578,9093,7811,7694,7344,8044,9326,9793,8743,7111,5829,3964,3264,2448,2215,2215,
"Kent County, Delaware",2009,151332,72783,78549,10745,10745,10593,11350,11350,10139,8929,9837,11350,11047,9685,8021,8021,6205,4691,3935,2270,2270,
"New Castle County, Delaware",2009,527774,256413,271361,35889,34305,34833,39583,35361,39055,35361,38528,39055,41166,36944,30611,25333,16889,14250,12139,10028,8972,
"Sussex County, Delaware",2009,184726,90345,94381,11638,10160,10529,10345,9975,9790,9052,10160,12377,13116,13116,13670,13485,11453,9606,7943,4249,4249,
"District of Columbia, District of Columbia",2009,588433,277522,310911,35894,28833,30599,42367,47075,55901,50017,45898,40602,40013,38248,35894,28245,20595,15888,12946,10592,10003,
"Alachua County, Florida",2009,238990,117011,121979,13144,11711,11472,24855,50666,13144,12188,13144,13144,14339,14100,12427,9799,6692,5497,5019,4063,3346,
"Baker County, Florida",2009,25478,13327,12151,1911,1860,1860,1783,1860,1783,1783,1580,2115,1962,1707,1350,1401,866,662,255,535,204,
"Bay County, Florida",2009,163451,80876,82575,11278,9644,10297,10461,11278,11768,9807,10788,11932,12749,11605,10297,8499,7028,5230,5067,3106,2615,
"Bradford County, Florida",2009,28841,16137,12704,1673,1500,1586,1586,2538,2336,2105,1673,2538,2394,2048,1788,1298,1125,750,721,433,750,
